"District","Representative","Party","Party","Prior experience","Education","Assumed office","Born in"
"Alabama 1","Byrne, BradleyBradley Byrne",NA,"Republican","Alabama Senate, Alabama State Board of Education","Duke UniversityUniversity of Alabama","2013*",1955
"Alabama 2","Roby, MarthaMartha Roby",NA,"Republican","Montgomery City Council","New York UniversityCumberland School of Law","2011",1976
"Alabama 3","Rogers, MikeMike Rogers",NA,"Republican","Calhoun County Commissioner, Alabama House of Representatives","Jacksonville State UniversityBirmingham School of Law","2003",1958
"Alabama 4","Aderholt, RobertRobert Aderholt",NA,"Republican","Haleyville Municipal Judge","Birmingham–Southern CollegeSamford University","1997",1965
"Alabama 5","Brooks, MoMo Brooks",NA,"Republican","Alabama House of Representatives, Madison County Commissioner","Duke UniversityUniversity of Alabama","2011",1954
"Alabama 6","Palmer, GaryGary Palmer",NA,"Republican","Policy analyst","University of Alabama","2015",1954
"Alabama 7","Sewell, TerriTerri Sewell",NA,"Democratic","Attorney","Princeton UniversityHarvard Law SchoolUniversity of Oxford","2011",1965
"Alaska At Large","Young, DonDon Young",NA,"Republican","Alaska Senate, Ship captain, Mayor of Fort Yukon, Alaska","California State University, Chico","1973*",1933
"Arizona 1","O'Halleran, TomTom O'Halleran",NA,"Democratic","Arizona Senate","None","2017",1946
"Arizona 2","McSally, MarthaMartha McSally",NA,"Republican","USAF Colonel","United States Air Force Academy","2015",1966
"Arizona 3","Grijalva, RaúlRaúl Grijalva",NA,"Democratic","Pima County Board of Supervisors","University of Arizona","2003",1948
"Arizona 4","Gosar, PaulPaul Gosar",NA,"Republican","President of the Northern Arizona Dental Society","Creighton UniversityCreighton University School of Dentistry","2011",1958
"Arizona 5","Biggs, AndyAndy Biggs",NA,"Republican","Arizona Senate","Arizona State UniversityBrigham Young University, University of Arizona","2017",1958
"Arizona 6","Schweikert, DavidDavid Schweikert",NA,"Republican","Arizona House of Representatives, Arizona Board of Education, Arizona Board of Equalization, Maricopa County Treasurer","Arizona State University","2011",1962
"Arizona 7","Gallego, RubenRuben Gallego",NA,"Democratic","Arizona House of Representatives","Harvard University","2015",1979
"Arizona 8","Franks, TrentTrent Franks",NA,"Republican","Arizona House of Representatives","Ottawa University","2003",1957
"Arizona 9","Sinema, KyrstenKyrsten Sinema",NA,"Democratic","Arizona Senate, Arizona House of Representatives","Brigham Young UniversityArizona State University","2013",1976
"Arkansas 1","Crawford, RickRick Crawford",NA,"Republican","Broadcaster, Businessman","Arkansas State University","2011",1966
"Arkansas 2","Hill, FrenchFrench Hill",NA,"Republican","Businessman","Vanderbilt UniversityUCLA Anderson School of Management","2015",1956
"Arkansas 3","Womack, SteveSteve Womack",NA,"Republican","Mayor of Rogers, Arkansas","Arkansas Tech University","2011",1957
"Arkansas 4","Westerman, BruceBruce Westerman",NA,"Republican","Arkansas House of Representatives","University of ArkansasYale University","2015",1967
"California 1","LaMalfa, DougDoug LaMalfa",NA,"Republican","California State Senate, California State Assembly","California Polytechnic State University","2013",1960
"California 2","Huffman, JaredJared Huffman",NA,"Democratic","California State Assembly","University of California, Santa BarbaraBoston College Law School","2013",1964
"California 3","Garamendi, JohnJohn Garamendi",NA,"Democratic","Lieutenant Governor of California, United States Deputy Secretary of the Interior, California Insurance Commissioner, California State Senate, California State Assembly","University of California, BerkeleyHarvard Business School","2009*",1945
"California 4","McClintock, TomTom McClintock",NA,"Republican","California Senate, California State Assembly","University of California, Los Angeles","2009",1956
"California 5","Thompson, MikeMike Thompson",NA,"Democratic","California State Senate","California State University, Chico","1999",1951
"California 6","Matsui, DorisDoris Matsui",NA,"Democratic","Sacramento, California City Council","University of California, Berkeley","2005*",1944
"California 7","Bera, AmiAmi Bera",NA,"Democratic","Chief Medical Officer of Sacramento County, California","University of California, Irvine","2013",1965
"California 8","Cook, PaulPaul Cook",NA,"Republican","California State Assembly","Southern Connecticut State UniversityCalifornia State University, San BernardinoUniversity of California, Riverside","2013",1943
"California 9","McNerney, JerryJerry McNerney",NA,"Democratic","Engineering executive","University of New Mexico","2007",1951
"California 10","Denham, JeffJeff Denham",NA,"Republican","California State Senate","California Polytechnic State University","2011",1967
"California 11","DeSaulnier, MarkMark DeSaulnier",NA,"Democratic","California State Senate, California State Assembly, Contra Costa County Board of Supervisors","College of the Holy Cross","2015",1952
"California 12","Pelosi, NancyNancy Pelosi",NA,"Democratic","Current House Minority Leader
Northern California Democratic Party Chairwoman","Trinity Washington University","1987*",1940
"California 13","Lee, BarbaraBarbara Lee",NA,"Democratic","California State Assembly","Mills CollegeUniversity of California, Berkeley","1998*",1946
"California 14","Speier, JackieJackie Speier",NA,"Democratic","California State Senate, California State Assembly, San Mateo County Board of Supervisors","University of California, DavisUC, Hastings Law","2008*",1950
"California 15","Swalwell, EricEric Swalwell",NA,"Democratic","Dublin City Council","University of Maryland, College ParkUniversity of Maryland School of Law","2013",1980
"California 16","Costa, JimJim Costa",NA,"Democratic","California State Senate, California State Assembly","California State University, Fresno","2005",1952
"California 17","Khanna, RoRo Khanna",NA,"Democratic","Lawyer, author, educator","University of Chicago, Yale Law School","2017",1976
"California 18","Eshoo, AnnaAnna Eshoo",NA,"Democratic","San Mateo County Board of Supervisors","Cañada CollegeMenlo College","1993",1942
"California 19","Lofgren, ZoeZoe Lofgren",NA,"Democratic","Santa Clara County Board of Supervisors","Stanford UniversitySanta Clara University","1995",1947
"California 20","Panetta, JimmyJimmy Panetta",NA,"Democratic","Deputy district attorney of Monterey County","Monterey Peninsula CollegeSanta Clara UniversityUniversity of California, Davis","2017",1969
"California 21","Valadao, DavidDavid Valadao",NA,"Republican","California State Assembly","College of the Sequoias","2013",1977
"California 22","Nunes, DevinDevin Nunes",NA,"Republican","California State Director for the United States Department of Agriculture's Rural Development Section","College of the SequoiasCal Poly University, San Luis Obispo","2003",1973
"California 23","McCarthy, KevinKevin McCarthy",NA,"Republican","Current House Majority LeaderCalifornia State Assembly","California State University, Bakersfield","2007",1965
"California 24","Carbajal, SaludSalud Carbajal",NA,"Democratic","Santa Barbara County, California Board of Supervisors","Fielding Graduate UniversityUniversity of California, Santa Barbara","2017",1964
"California 25","Knight, SteveSteve Knight",NA,"Republican","California State Senate, California State Assembly, Palmdale City Council","Antelope Valley College","2015",1966
"California 26","Brownley, JuliaJulia Brownley",NA,"Democratic","California State Assembly","George Washington UniversityAmerican University","2013",1952
"California 27","Chu, JudyJudy Chu",NA,"Democratic","Mayor of Monterey Park, Monterey Park City Council, California State Assembly, California State Board of Equalization","University of California, Los Angeles","2009*",1953
"California 28","Schiff, AdamAdam Schiff",NA,"Democratic","California State Senate, Assistant Prosecutor for the United States Attorney for the Southern District of California","Stanford UniversityHarvard University","2001",1960
"California 29","Cárdenas, TonyTony Cárdenas",NA,"Democratic","Los Angeles City Council","University of California, Santa Barbara","2013",1963
"California 30","Sherman, BradBrad Sherman",NA,"Democratic","California Board of Equalization","University of California, Los AngelesHarvard Law School","1997",1954
"California 31","Aguilar, PetePete Aguilar",NA,"Democratic","Mayor of Redlands","University of Redlands","2015",1979
"California 32","Napolitano, GraceGrace Napolitano",NA,"Democratic","California State Assembly","Texas Southmost College","1999",1936
"California 33","Lieu, TedTed Lieu",NA,"Democratic","California State Senate, California State Assembly","Stanford UniversityGeorgetown University","2015",1969
"California 34","Gomez, JimmyJimmy Gomez",NA,"Democratic","California State Assembly","UCLAHarvard University","2017*",1974
"California 35","Torres, NormaNorma Torres",NA,"Democratic","California State Senate, California State Assembly, Mayor of Pomona","National Labor College","2015",1965
"California 36","Ruiz, RaulRaul Ruiz",NA,"Democratic","Emergency physician","University of California, Los AngelesHarvard University","2013",1972
"California 37","Bass, KarenKaren Bass",NA,"Democratic","Speaker of the California State Assembly","California State University, Dominguez Hills","2011",1953
"California 38","Sánchez, LindaLinda Sánchez",NA,"Democratic","Attorney","University of California, BerkeleyUniversity of California, Los Angeles","2003",1969
"California 39","Royce, EdEd Royce",NA,"Republican","California State Senate","California State University, Fullerton","1993",1951
"California 40","Roybal-Allard, LucilleLucille Roybal-Allard",NA,"Democratic","public relations executive","California State University, Los Angeles","1993",1941
"California 41","Takano, MarkMark Takano",NA,"Democratic","Teacher","Harvard University","2013",1960
"California 42","Calvert, KenKen Calvert",NA,"Republican","Real Estate Executive","Chaffey CollegeSan Diego State University","1993",1953
"California 43","Waters, MaxineMaxine Waters",NA,"Democratic","California State Assembly","California State University, Los Angeles","1991",1938
"California 44","Barragán, NanetteNanette Barragán",NA,"Democratic","Hermosa Beach City Council","University of California, Los Angeles, University of Southern California","2017",1976
"California 45","Walters, MimiMimi Walters",NA,"Republican","California State Senate, California State Assembly, Mayor of Laguna Niguel","University of California, Los Angeles","2015",1962
"California 46","Correa, LouLou Correa",NA,"Democratic","California State Senate, Orange County Board of Supervisors, California State Assembly","University of California, Los AngelesCalifornia State University, Fullerton","2017",1958
"California 47","Lowenthal, AlanAlan Lowenthal",NA,"Democratic","California State Senate, California State Assembly","Ohio State University|Hobart College","2013",1941
"California 48","Rohrabacher, DanaDana Rohrabacher",NA,"Republican","Special assistant to President Reagan","California State University, Long BeachUniversity of Southern California","1989",1947
"California 49","Issa, DarrellDarrell Issa",NA,"Republican","Electronics executive","Kent State University","2001",1953
"California 50","Hunter, Duncan D.Duncan D. Hunter",NA,"Republican","Military officer, businessman","San Diego State University","2009",1976
"California 51","Vargas, JuanJuan Vargas",NA,"Democratic","California State Senate, California State Assembly, San Diego City Council","Harvard Law SchoolFordham UniversityUniversity of San Diego","2013",1961
"California 52","Peters, ScottScott Peters",NA,"Democratic","San Diego City Council, San Diego Port Commission","Duke UniversityNew York University School of Law","2013",1958
"California 53","Davis, SusanSusan Davis",NA,"Democratic","California State Assembly, San Diego School Board","University of California, BerkeleyUniversity of North Carolina at Chapel Hill","2001",1944
